created_at,text
2017-02-10 18:25:03,RT @BU_Hillel: The #blood #drive is coming to Hillel February 23rd! Sign up at https://t.co/pDIGSUMVKN with the code BUhillel. @BUCSC
2017-02-10 18:24:47,Seniors/recent college graduates! The College Advising Corps-BU is hiring for the 2017-2018 program year! Apply here https://t.co/5yYSgDZ8Bp
2017-02-07 17:24:22,Join Afterschool program managers Hailey and Anna tonight at 6PM! They'll be in the CSC hosting an information meeting about the program! https://t.co/9FAehqCuvs
2017-02-07 17:23:39,RT @BU_GRS: Hoping to do some community service this summer? Check out the programs offered through the CSC! https://t.co/TOlX1nYIES @BUCSC…
2017-02-07 17:23:28,RT @BU_Hillel: #Challah for #Hunger is back next Wednesday! Join us as we braid&amp;bake Challah. All proceeds help people with food insecurity…
2017-01-24 13:18:09,Today's your last day to APPLYAPPLYAPPLY! https://t.co/D8Xw71Cztr #fysop #fycoapp #gogogo
2017-01-23 18:35:14,"RT @heyfysop: Applications for FYSOP 2017 Coordinators are due tomorrow! To learn more, visit https://t.co/HCIedQDqH1 or email fysop@bu.edu."
2016-12-10 14:18:28,"On Thursday we had a super rad squad who wrote 75 holiday cards to send to incarcerated folks around the US. 75 stamps of kindness, y'all.  https://t.co/oZNCXiVCmM"
2016-12-05 19:22:25,"RT @TEDTalks: ""Soap operas teach us to believe in our capacity for bravery, vulnerability, adaptability and resilience."" https://t.co/m2oZz…"
2016-12-04 23:08:15,The holidays are a time to spread kindness to those who may not be having the best time. Join us this Thursday! https://t.co/6VAcL5r7z1 https://t.co/Svf7w4rR48
2016-11-21 21:36:09,"""Public health is the foundation for a brighter tomorrow"" - President Obama. Learn more about public health here! https://t.co/eBvmgWvmuP"
2016-11-20 16:05:11,RT @BUASB: Registration is NOW OPEN and the trips are filling up quickly! Register now before you lose your chance! #GoBeyond https://t.co/…
2016-11-18 23:37:40,"Get involved outside the BU Bubble.
Open your eyes and #GoBeyond with @BUASB 

https://t.co/dD0CIW49V9"
2016-11-18 19:25:08,RT @bualumni: Where you involved in @BUCSC at #BU? Zach Hobbs will tell you how awesome #BUCSC is in 00:29 sec for 11/29 #GivingTuesday htt…
2016-11-18 14:44:51,"Stay safe this Friday, everyone!"
2016-11-15 17:34:56,"Alternative Service Breaks Registration begins this Sunday, November 20th, at 9AM! Get ready to #GoBeyond! https://t.co/IG1R3bDeFv"
2016-10-17 19:24:30,Have an idea for a civil-minded project? We may offer you a grant to make it happen... https://t.co/1m8bV9Lx9w https://t.co/Ap48Qp5qLf
2016-10-03 19:56:45,"Who am I, really? https://t.co/7xdyzIr2x0"
2016-09-28 11:06:02,"JFJ is around the corner, so let's talk food justice with SFR program managers Taylor &amp; Tiffany! https://t.co/MiSRiVq3jR"
2016-09-27 16:00:17,It's Alumni Weekend with the CSC at the BU Pub! https://t.co/xQvudvblmS
2016-09-23 13:16:29,"Happy Friday! Don't forget ASB coordinator applications are due today at 5! 
https://t.co/b15BEy6uCV"
2016-09-21 17:42:48,"Learn how to receive funds for civic/social justice projects on 9/27 @ 6-7:30 in the Terrace Lounge, 2nd floor GSU https://t.co/1m8bV9Lx9w"
2016-09-20 19:09:17,Interested in working with youth around Boston? Join us on tonight in the CSC @ 7pm to chat with our youth and education service programs!
2016-09-19 19:48:54,Does science &amp; service interest you? See you on September 22nd @ 8pm in the CSC for the Wizards general meeting! https://t.co/4nMojpUTvw
2016-09-18 16:01:09,Come learn how you can catalyze change and start compassionate conversations within our communities. https://t.co/f20S8JJIBC
2016-09-16 14:07:43,"Combat Boston's drug epidemic, alleviate the link b/w poverty &amp; sickness, &amp; promote equity in health care. https://t.co/6ioC40HLwa"
2016-09-15 15:50:59,"The CSC is ready to mingle! ""Speed-date"" with our youth-centered service program this Tuesday night! Don't be shy! https://t.co/gPQomVFiWw"
2016-09-09 11:34:33,"To celebrate our 30th bday, we've got 30 days of service for September! Fall into Engagement! https://t.co/lnxz5k2viF"
2016-09-08 19:03:05,Fall into Engagement! Stop in from 6-8 tonight (4th Floor GSU) to chat &amp; learn about service opportunities! Snacks! https://t.co/WbNcALkUEP
2016-08-17 13:34:21,"In less than a week from now, our lovely FYStaff will be on the scene! Getting pumped yet? So are we. #FYSOP27 #AlmostThere"
2016-08-15 13:33:22,RT @heyfysop: Make sure to check out this week's blog post from coordinators Mariel &amp; Sernah about mentorship! https://t.co/giNHf61Ui1
2016-08-10 13:21:08,RT @heyfysop: Watch our video about a very important theme surrounding #FYSOP27 as well as @BU_Tweets &amp; the @BUCSC: mentorship! https://t.c…
2016-08-08 13:36:09,RT @heyfysop: This week's blog post (or short play) by coordinators Albert &amp; Lola just might convince you to register for #FYSOP27 https://…
2016-07-27 13:53:12,"RT @heyfysop: Meet the animals coordinators, Albert and Sheridan, and our office corgi pets in this important PSA. https://t.co/K5jJcLlXD1"
2016-07-13 13:13:42,"RT @heyfysop: Hey #FYSOP! Meet Mariel, one of our ~fun~ #FYCHAT moderators for the upcoming Twitter Chat this Wednesday at 7PM! https://t.c…"
2016-07-11 13:08:43,"RT @heyfysop: Hey #BU2020, join Storytellers Mariel &amp; Allison next week for our first #FYCHAT! Come w/ any questions you may have https://t…"
2016-07-06 15:05:29,RT @ApplyToBU: Discover how Tré Pina's decision to take part in the @heyfysop turned out to be life-changing in many ways: https://t.co/Zts…
2016-07-01 13:26:25,RT @heyfysop: Check out this week's blog post about the history of our beautiful city written by our coordinators Amber and Jay! https://t.…
2016-06-29 13:23:30,RT @heyfysop: Hey #BU2020! Check out our latest blog post about the connection between @BUorientation and FYSOP! https://t.co/IPgEMomDUb
2016-06-27 19:12:16,Friends! We are thrilled to announce the launch of our blog at https://t.co/x96DZTFkzg! https://t.co/4zOfbdVJqy
2016-06-27 13:52:01,RT @heyfysop: Check out animals and abilities coordinators at community partner @Strongwaterfarm with their new friend Cha Ching! https://t…
2016-06-27 13:50:59,RT @heyfysop: Then visit the @BUCSC on the 4th floor of the George Sherman Union to claim your ~prize~ (Hint: these cool shirts) https://t…
2016-06-27 13:50:47,"RT @sustainableBU: Come with your best ideas on how to make Boston climate resilient on 6/27! Tickets available here"" https://t.co/kXueSMqO…"
2016-06-20 13:36:44,RT @heyfysop: Here's our first blog post for the summer! 2 of our coordinators have written all about what FYSOP is. Check it out! https://…
2016-06-15 10:52:19,RT @heyfysop: #NewTerriers @BUorientation Session 2!! Look out for our next #FYSOP Orientation Challenge on Facebook https://t.co/FRxOfFzBI…
2016-06-15 10:51:29,RT @heyfysop: Nothing like a #FYSOP family snuggle! Register to join this ~supportive~ BU community https://t.co/fnrewTorln https://t.co/CT…
2016-06-08 13:39:10,"Hey #BU2020, our folks at the CSC are eager to meet you at orientation! Eyes open for CSC giveaways! https://t.co/XtHDMLg2w5"
2016-06-08 13:29:40,RT @BU_GRS: Hoping to do some community service this summer?  Check out the programs offered through the CSC! https://t.co/TOlX1nYIES @BUCS…
2016-06-01 16:45:01,Make an impact this summer with SFR! Register at https://t.co/ew2lnuVRkD or email sfr@bu.edu. https://t.co/YdcK6YklCN
2016-05-31 23:01:11,The CSC staff joined hands with the FYSOP27 crew to take on Boston! #beyondcomave https://t.co/9RO8lP1tug
2016-05-29 18:06:26,"RT @BU_CCD: What's in your mosaic? Research, #internships, @BUabroad, @BUCSC. Learn how it all helps you find yr future."
2016-05-29 18:06:09,RT @heyfysop: Hey #BU2020! If you're interested in education and community service sign up for #FYSOP27 or another @BUCSC program! https://…
2016-05-26 16:07:41,RT @pratibharaman: Boston friends: please consider volunteering as a Math or Reading/Writing Coach with LGR this summer! More info: https:/…
2016-05-25 18:08:08,Snag your spot in FYSOP 27 before registration closes! Go to https://t.co/9KQDhnCqVV #fysop27 #bu2020 @heyfysop https://t.co/e9pxV61dJ7
2016-05-03 18:03:31,Good luck to all our students on the first day of #finals ! One step closer to summer break ☀️
2016-04-28 21:06:47,"Our senior volunteer, Monica Nunez, tie dying a CSC shirt on the beach today! Thanks for coming! See you all at 6 https://t.co/4CrwY3OP73"
2016-04-28 16:51:48,"Volunteer Recognition Ceremony will be an event tie-dye for! Come to the Beach &amp; the CSC for food, fun and reflection (&amp; tie dye) #CSCSpirit"
2016-04-27 16:26:42,Nominate a senior for their dedication to service &amp; community engagement! #SeniorService https://t.co/m695jYAVqE https://t.co/puRX4R4CeW
2016-04-25 18:34:17,Know a senior who has engaged with our community throughout their BU years? Nominate them for our service award! https://t.co/m695jYAVqE
2016-04-22 15:00:35,"Happy #EarthDay ! Boston has given us warm weather to enjoy the outdoors, so get outside today to celebrate "
2016-04-16 20:38:55,RT @PineStreetInn: @BUCSC Thank you for coming in to prep the kitchen! Much appreciated. #psivolunteers #nationalvolunteerweek
2016-04-16 17:00:59,RT @krae_nn: Taking a break at New Entry Sustainable Farms! @BUGDS @BUCSC #BUGDS16 #bugds https://t.co/KsdNEWp4bo
2016-04-16 16:31:10,RT @LPWK: Thank you BU CSC for a great day of service!!!  @BUGDS @BUCSC @BU_Tweets https://t.co/VYG3PC1qns
2016-04-16 16:30:44,RT @LPWK: Ollie's first Day of Service!  @BUCSC @BUGDS Awesomeness!!! https://t.co/dYcN042N3H
2016-04-16 14:36:35,RT @carolinerkohler: Already a Spontaneous Celebration and the day is just getting started! #BUGDS16 https://t.co/egJ2uTWyj4
2016-04-16 11:59:52,We are ready for ya volunteers! #BUGDS16 @BUGDS https://t.co/4VmNCpFHsg
